Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery
27112,Brazil,"Stalky, herbal, earthy aromas are flat, while the palate on this rusty-looking Tannat feels citric and raw. Earthy, leafy flavors are sharp but also low on fruit and depth, and the wine finishes similarly.",Aurora Cellars Reserva,82,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Vinícola Aurora 2011 Aurora Cellars Reserva Tannat (Serra Gaúcha),Tannat,Vinícola Aurora
28028,Brazil,"Hot saucy plum and berry aromas set up an abrasive tannic palate that's choppy and short. Dark plum and berry aromas finish with jagged, hard tannins and bright acidity.",Agnus,86,12.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2014 Agnus Tannat (Serra Gaúcha),Tannat,Lidio Carraro
34202,Brazil,"Honest black-fruit, oak, graphite and spice aromas give this blend of Merlot and Cabernet Sauvignon a solid bouquet. In the mouth, this is grabby and tannic, with black cherry, leather and prune flavors. A chewy, tannic finish deals resiny oak, raisiny notes and loamy length. Drink now.",Lote 43,86,45.0,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Miolo 2011 Lote 43 Merlot-Cabernet Sauvignon (Vale dos Vinhedos),Merlot-Cabernet Sauvignon,Miolo
36386,Brazil,"Initial aromas of vanilla wafer give way to pear scents and minerality. This wine has creamy weight but acidic cut and pulse along with melon, vanilla and lightly oaked flavors. Honey, vanilla and a touch of pithy bitterness compete with melony notes on the finish.",Dádivas,88,20.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2013 Dádivas Chardonnay (Serra Gaúcha),Chardonnay,Lidio Carraro
43246,Brazil,"Peach pit and citrus-rind aromas are solid, focused and dry. This brut rosé feels sound and round, but foamy. Cantaloupe and peach flavors maintain the palate's yeasty notes while turning slightly bitter.",Charmat Brut Rosé,87,20.0,Vale Trentino,,,Michael Schachner,@wineschach,Casa Perini NV Charmat Brut Rosé Sparkling (Vale Trentino),Sparkling Blend,Casa Perini
51451,Brazil,"Tropical aromas of lime and lychee are simple but also normal for Moscato. This semisweet still wine is a bit dilute, with flavors of sweet grass, green herbs and lychee.",Macaw Aromatic Soft,84,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2017 Macaw Aromatic Soft Moscato (Serra Gaúcha),Moscato,Casa Perini
51466,Brazil,"Stale fruit and damp-earth aromas are a warning sign. In the mouth, this Cabernet Sauvignon is raw and acidic, with hard tannins. Lean plum flavors are oaky and resiny, while this feels scratchy on an intensely dry finish.",Fração Única,83,28.0,Vale Trentino,,,Michael Schachner,@wineschach,Casa Perini 2014 Fração Única Cabernet Sauvignon (Vale Trentino),Cabernet Sauvignon,Casa Perini
52753,Brazil,Yeasty briny aromas are a bit pickled and not very fruity. This rosé feels yeasty and not very tight or expressive. Flavors of tropical fruits and melon don't change much on a quick-passing finish.,Blush,86,23.0,Brazil,,,Michael Schachner,@wineschach,Casa Valduga 2015 Blush  (Brazil),Champagne Blend,Casa Valduga
54026,Brazil,"A stewy nose includes notes of mashed leaves, herbal berry fruits, prune and black tea. The palate on this Merlot-Cab Sauvignon blend is heavily extracted and jammy, with hard-pounding tannins. A fully oaked set of black-fruit flavors moves towards prune, raisin and chocolate on the finish.",Lote 43,85,33.0,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Miolo 2012 Lote 43 Merlot-Cabernet Sauvignon (Vale dos Vinhedos),Merlot-Cabernet Sauvignon,Miolo
55072,Brazil,Mild citrus aromas are aided by crushed mineral notes. This rosé feels chunky as it blows up on the palate with a cloud of foam. Apricot and orange flavors finish foamy and yeasty in flavor.,Cave Amadeu Rosé Brut,87,25.0,Pinto Bandeira,,,Michael Schachner,@wineschach,Cave Geisse NV Cave Amadeu Rosé Brut Pinot Noir (Pinto Bandeira),Pinot Noir,Cave Geisse
64657,Brazil,"Soda-like on the nose, with bready, toasty accents. It's rough and foamy on the palate, with cider and dry citrus flavors. Lasting on the finish, but still it's pithy and grapefruity.",Brut,84,25.0,Pinto Bandeira,,,Michael Schachner,@wineschach,Cave Geisse 2009 Brut Sparkling (Pinto Bandeira),Sparkling Blend,Cave Geisse
64677,Brazil,"Hard and herbal on the nose, with cherry and a note of wet cement or chemical. Narrow and fairly choppy and tannic in the mouth, with forceful cherry, plum and buttery oak flavors. Sweetens up with time but remains tannic and hard.",Talento,83,26.0,Campanha,,,Michael Schachner,@wineschach,Salton 2006 Talento Red (Campanha),Red Blend,Salton
72991,Brazil,"Stony polished white-fruit aromas are lean and clean. This brut nature shows modest heft as it expands on the palate, but mostly this is racy and fit. Yeasty flavors of white pepper and lime finish with a leesy note and stoniness.",Brut Nature,89,36.0,Pinto Bandeira,,,Michael Schachner,@wineschach,Cave Geisse 2013 Brut Nature Sparkling (Pinto Bandeira),Sparkling Blend,Cave Geisse
74419,Brazil,"Dry, earthy aromas of baked berry fruits and mushroom set up a tannic, pulpy, full-bodied palate with good balance. This blend of Cabernet Sauvignon, Merlot and Tannat boasts earthy plum, pepper and licorice flavors along with a light, herbal finish. Drink now.",Talento,87,21.0,Brazil,,,Michael Schachner,@wineschach,Salton 2009 Talento Red (Brazil),Red Blend,Salton
76129,Brazil,"Cherry, plum and earth aromas form a sound bouquet. This Merlot is full, round and well balanced. Flavors of black fruits are helped along by integrated spice and earth tones, while the finish shows ripeness and a smooth texture.",Agnus,88,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2011 Agnus Merlot (Serra Gaúcha),Merlot,Lidio Carraro
79281,Brazil,"Briny stone-fruit aromas are sweetened by notes of apple blossom. A full, slightly foamy palate is lively but brusque, while this tastes of yeasty peach and apricot in front of a mildly bitter finish.",130 Brut,88,33.0,Brazil,,,Michael Schachner,@wineschach,Casa Valduga NV 130 Brut  (Brazil),Champagne Blend,Casa Valduga
79589,Brazil,"Dusty white-fruit aromas are mild and slightly floral. This 100% Chardonnay is sturdy on the palate but a bit foamy. Aged, yeasty flavors of white bread and white fruits are steady on a bready tasting finish.",Blanc de Blancs Brut,89,45.0,Pinto Bandeira,,,Michael Schachner,@wineschach,Cave Geisse 2012 Blanc de Blancs Brut Chardonnay (Pinto Bandeira),Chardonnay,Cave Geisse
81076,Brazil,"Dusty medicinal cherry aromas are a touch earthy. This feels flat and low on structure, but at 11.5% ABV that should be expected. Roasted plum flavors finish with a rustic hickory note.",Macaw,84,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2014 Macaw Tannat (Serra Gaúcha),Tannat,Casa Perini
87977,Brazil,"Straightforward plum, cherry and tomato aromas lead to a juicy palate that's lacking in structure. Simple slightly sweet plum and black-currant flavors finish with a note of peppery spice. At only 11.5% ABV, this is Merlot is an easy sipper.",Macaw,85,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2014 Macaw Merlot (Serra Gaúcha),Merlot,Casa Perini
89722,Brazil,Sulfur and match stick aromas are less than pleasant and devoid of fruit. A flabby grabby palate deals oaky flavors of stale white fruits. A long but arduous finish doesn't help the situation.,Da'Divas,82,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2014 Da'Divas Chardonnay (Serra Gaúcha),Chardonnay,Lidio Carraro
89726,Brazil,"A nose based on candied fruit is pretty much the script for all of the Macaw reds. Like the others, this Merlot is sticky but also acidic. Flavors of raspberry Kool-Aid and foxy plum are mercifully short on the finish.",Macaw Smooth,81,15.0,Vale Trentino,,,Michael Schachner,@wineschach,Casa Perini 2016 Macaw Smooth Merlot (Vale Trentino),Merlot,Casa Perini
89727,Brazil,"Candied-raspberry aromas are soapy and strange. This sweet Tannat from Brazil is hollow yet cloying, with candied-cherry flavors that don't cut it. While not undrinkable, this just isn't good.",Macaw Soft,80,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2015 Macaw Soft Tannat (Serra Gaúcha),Tannat,Casa Perini
93688,Brazil,"Hits with barrel resin and not much else. Feels screechy and shrill, with a swath of wood tannin. Acidity pushes it along in the mouth, but this is really all about resiny wood.",Cuvée Giuseppe,80,25.0,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Miolo 2009 Cuvée Giuseppe Chardonnay (Vale dos Vinhedos),Chardonnay,Miolo
94573,Brazil,"Prune and metallic aromas are not fully integrated and fresh but improve with airing. The palate is heavy and tannic, a touch abrasive in feel, with big berry flavors that hammer away due to fierce tannins. Comes on big with berry fruit but always feels rough.",DNA 99 Single Vineyard,85,50.0,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Pizzato 2005 DNA 99 Single Vineyard Merlot (Vale dos Vinhedos),Merlot,Pizzato
97572,Brazil,"Hot saucy plum and berry aromas set up an abrasive tannic palate that's choppy and short. Dark plum and berry aromas finish with jagged, hard tannins and bright acidity.",Agnus,86,12.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2014 Agnus Tannat (Serra Gaúcha),Tannat,Lidio Carraro
101564,Brazil,"Briny grassy aromas of apple and citrus are yeasty as well. This Chardonnay-Pinot Noir blend is foamy and active, while flavors run towards slightly bitter and yeasty, with fruit hard to find. A similar finish renders this good but with issues.",Millésime Brut,86,30.0,Vale dos Vinhedos,,,Michael Schachner,@wineschach,Miolo 2012 Millésime Brut  (Vale dos Vinhedos),Champagne Blend,Miolo
101565,Brazil,"A light color and tropical aromas of lime and lychee set up a full but flaccid palate. Yeasty bready flavors are less than fruity, while this tastes similar on a low-acid finish.",Intenso Brut,86,,Serra Gaúcha,,,Michael Schachner,@wineschach,Salton NV Intenso Brut Sparkling (Serra Gaúcha),Sparkling Blend,Salton
101575,Brazil,"A sniff of this blend of Cabernet Sauvignon, Merlot, Tannat and Ancellotta is like a walk through the sawmill. Given how oaky this smells, it's no surprise that the palate is resiny in feel, with dry woody plum flavors. Additional oak dominates the finish on this one-dimensional barrel blaster.",Quatro,86,60.0,Vale Trentino,,,Michael Schachner,@wineschach,Casa Perini 2012 Quatro Red (Vale Trentino),Red Blend,Casa Perini
102206,Brazil,"This Brazilian Merlot smells rubbery and gaseous, with saucy berry notes. In the mouth, this is severely tannic and drying. Toasty, blackened and bitter in flavor, this ends with peppery notes and hard-pounding tannins.",Agnus,85,12.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2014 Agnus Merlot (Serra Gaúcha),Merlot,Lidio Carraro
102209,Brazil,"Oily aromas of orange peel and tropical fruits set up a creamy low-acid palate. Peach, melon and lychee flavors are light but pleasant, while this semisweet Moscato is tropical tasting but dilute on the finish.",Macaw Semi-Dry,85,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha),Moscato,Casa Perini
104020,Brazil,"This is mentholated and spicy, with a brandied cherry note as the dominant aroma. Tight but not too severe, it would pair well with meat. Its flavors of raspberry and dry plum are tasty, and the finish hits hard with tightness featuring dry raspberry and cherry skin. A blend of Cabernet Sauvignon, Cab Franc, Merlot and Malbec.",Innominabile Lote IV,86,35.0,Santa Catarina,,,Michael Schachner,@wineschach,Villaggio Grando NV Innominabile Lote IV Red (Santa Catarina),Bordeaux-style Red Blend,Villaggio Grando
111297,Brazil,"Oily aromas of orange peel and tropical fruits set up a creamy low-acid palate. Peach, melon and lychee flavors are light but pleasant, while this semisweet Moscato is tropical tasting but dilute on the finish.",Macaw Semi-Dry,85,15.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Casa Perini 2016 Macaw Semi-Dry Moscato (Serra Gaúcha),Moscato,Casa Perini
111301,Brazil,"This Brazilian Merlot smells rubbery and gaseous, with saucy berry notes. In the mouth, this is severely tannic and drying. Toasty, blackened and bitter in flavor, this ends with peppery notes and hard-pounding tannins.",Agnus,85,12.0,Serra Gaúcha,,,Michael Schachner,@wineschach,Lidio Carraro 2014 Agnus Merlot (Serra Gaúcha),Merlot,Lidio Carraro
